epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31166,2.81404,3.49504,3.59701,0.01984,0.37736,0.06727,0.01964,2.88585,3.2336,4.00672,0.0973,0.0003,0.0003
2,18.7124,2.74283,3.09152,3.58913,0.01899,0.37736,0.09465,0.02586,2.88284,3.13624,3.95745,0.0936861,0.00068614,0.00068614
3,27.2766,2.77018,3.01811,3.33928,0.06409,0.35849,0.09877,0.02805,2.87959,3.11305,3.94293,0.0900564,0.00105644,0.00105644
4,36.4399,2.71687,2.91884,3.50524,0.78832,0.0566,0.12827,0.03269,2.90071,2.98644,3.88663,0.0864109,0.0014109,0.0014109
5,45.3885,2.75832,2.8573,3.3474,0.67645,0.09434,0.15025,0.04041,2.87041,2.97935,3.82614,0.0827495,0.00174952,0.00174952
6,54.5166,2.6252,2.89064,3.41144,0.38074,0.09434,0.14999,0.04208,2.80302,2.9432,3.81493,0.0790723,0.0020723,0.0020723
7,63.9195,2.61069,2.70111,3.37574,0.38074,0.09434,0.14999,0.04208,2.80302,2.9432,3.81493,0.0753792,0.00237924,0.00237924
8,73.0848,2.52847,2.71147,3.19318,0.29883,0.11321,0.14515,0.05296,2.6844,2.84323,3.72468,0.0716703,0.00267034,0.00267034
9,82.1022,2.70415,2.66065,3.3523,0.32243,0.18868,0.17125,0.06145,2.61043,2.73563,3.63621,0.0679456,0.0029456,0.0029456
10,91.2174,2.36812,2.60783,3.06292,0.32243,0.18868,0.17125,0.06145,2.61043,2.73563,3.63621,0.064205,0.00320502,0.00320502
11,100.167,2.3909,2.53499,3.2321,0.37437,0.18868,0.2138,0.08556,2.60403,2.60192,3.60249,0.0604486,0.0034486,0.0034486
12,109.238,2.31574,2.55632,3.15617,0.37437,0.18868,0.2138,0.08556,2.60403,2.60192,3.60249,0.0566763,0.00367634,0.00367634
13,118.307,2.25784,2.40043,3.09208,0.44962,0.24528,0.26299,0.10451,2.43026,2.37919,3.5306,0.0528882,0.00388824,0.00388824
14,127.307,2.20041,2.50731,3.14371,0.44962,0.24528,0.26299,0.10451,2.43026,2.37919,3.5306,0.0490843,0.0040843,0.0040843
15,136.132,2.17669,2.30787,2.93366,0.54432,0.37736,0.42593,0.15624,2.27328,2.30451,3.47116,0.0452645,0.00426452,0.00426452
16,145.027,2.10144,2.32887,3.0646,0.54432,0.37736,0.42593,0.15624,2.27328,2.30451,3.47116,0.0414289,0.0044289,0.0044289
17,154,2.1683,2.22002,2.84312,0.54432,0.37736,0.42593,0.15624,2.27328,2.30451,3.47116,0.0375774,0.00457744,0.00457744
18,163.031,2.30989,2.26232,2.93966,0.63151,0.45283,0.54216,0.17857,2.1816,2.33798,3.4772,0.0337101,0.00471014,0.00471014
19,172.186,2.12886,2.06694,2.7828,0.63151,0.45283,0.54216,0.17857,2.1816,2.33798,3.4772,0.029827,0.004827,0.004827
20,181.137,2.20626,2.45269,2.93373,0.63151,0.45283,0.54216,0.17857,2.1816,2.33798,3.4772,0.025928,0.00492802,0.00492802
21,190.358,2.1271,2.20512,2.96994,0.63151,0.45283,0.54216,0.17857,2.1816,2.33798,3.4772,0.0220132,0.0050132,0.0050132
22,199.398,2.22632,2.22272,2.73632,0.46188,0.45283,0.43621,0.1882,1.89333,2.14809,3.24132,0.0180825,0.00508254,0.00508254
23,208.08,2.15104,2.25153,3.27837,0.46188,0.45283,0.43621,0.1882,1.89333,2.14809,3.24132,0.014136,0.00513604,0.00513604
